Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Population elastic ID	Data collections
HG02567	male	SAME1839905	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38
HG02316	male	SAME1839661	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02574	female	SAME1839652	GWD	Gambian Mandinka,Gambian	AFR	African Ancestry,Africa (SGDP)	GWD,GambianSGDP	1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02323	male	SAME1839440	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02586	female	SAME1839414	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02330	male	SAME1839237	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02644	male	SAME1839782	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02347	male	SAME1839072	PEL	Peruvian	AMR	American Ancestry	PEL	1000 Genomes on GRCh38
HG02649	female	SAME1839852	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02602	male	SAME1840290	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02651	male	SAME1839544	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02614	female	SAME1840385	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02656	male	SAME1839607	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02621	female	SAME1840187	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02668	male	SAME1839377	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02373	male	SAME124104	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02675	male	SAME1839495	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02380	male	SAME1840045	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02682	female	SAME1839300	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02385	male	SAME1840006	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02409	male	SAME1839457	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02392	male	SAME1839776	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02428	male	SAME1839027	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes phase 3 release
HG02397	male	SAME123308	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02442	male	SAME1840352	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02405	male	SAME1839398	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38
HG02461	male	SAME1839993	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02152	female	SAME124790	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02466	male	SAME1839970	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02164	female	SAME124209	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02478	male	SAME1839801	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02169	female	SAME1839233	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38
HG02303	female	SAME124278	PEL	Peruvian	AMR	American Ancestry	PEL	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02176	female	SAME1839024	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38
HG02308	female	SAME1839529	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02188	female	SAME122829	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02315	female	SAME1839666	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02974	female	SAME1840241	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02322	female	SAME1839444	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02979	female	SAME1840209	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02334	male	SAME1839307	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02981	male	SAME1840024	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02339	female	SAME1839288	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03009	male	SAME1840256	BEB	Bengali	SAS	South Asian Ancestry	BEB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release
HG02353	male	SAME1840276	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03016	female	SAME1839952	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02601	female	SAME1840293	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03023	male	SAME1839797	PJL	Punjabi	SAS	South Asian Ancestry	PJL	
HG02613	male	SAME1840390	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03028	female	SAME1839729	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02620	male	SAME1840191	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03035	male	SAME1839573	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02625	male	SAME1840257	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG03073	female	SAME1839019	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02358	male	SAME1840334	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38
HG03078	male	SAME1839047	MSL	Mende,Mende	AFR	African Ancestry,Africa (SGDP)	MSL,MendeSGDP	1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02360	male	SAME1840391	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03080	female	SAME1840307	MSL	Mende	AFR	African Ancestry	MSL	
HG02372	male	SAME1840258	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03085	female	SAME1840328	MSL	Mende,Mende	AFR	African Ancestry,Africa (SGDP)	MSL,MendeSGDP	1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02377	male	SAME1840228	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03097	female	SAME1840130	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02384	male	SAME1840011	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03100	male	SAME1840003	ESN	Esan,Esan	AFR	African Ancestry,Africa (SGDP)	ESN,EsanSGDP	1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02389	male	SAME1840085	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03105	female	SAME1840041	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02391	male	SAME1839784	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03112	male	SAME1839893	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02396	male	SAME125357	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02885	female	SAME1840157	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02257	female	SAME1839326	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02892	male	SAME1839935	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02271	male	SAME1840319	PEL	Peruvian	AMR	American Ancestry	PEL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02897	female	SAME1839910	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02276	female	SAME1840373	PEL	Peruvian	AMR	American Ancestry	PEL	
HG02924	male	SAME1839516	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes 30x on GRCh38
HG02283	male	SAME1840173	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02943	female	SAME1839085	ESN	Esan,Esan	AFR	African Ancestry,Africa (SGDP)	ESN,EsanSGDP	1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02288	male	SAME1840148	PEL	Peruvian	AMR	American Ancestry	PEL	1000 Genomes on GRCh38
HG02948	male	SAME1839153	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes 30x on GRCh38
HG02219	male	SAME1839813	IBS	Iberian	EUR	European Ancestry	IBS	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02784	female	SAME1839157	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02221	male	SAME123716	IBS	Iberian	EUR	European Ancestry	IBS	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02789	male	SAME1840280	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02233	male	SAME1839370	IBS	Iberian	EUR	European Ancestry	IBS	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02791	male	SAME1840342	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02238	male	SAME1839423	IBS	Iberian	EUR	European Ancestry	IBS	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02804	male	SAME1840084	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02240	female	SAME1839481	IBS	Iberian	EUR	European Ancestry	IBS	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02809	female	SAME1840067	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02252	female	SAME1839354	PEL	Peruvian	AMR	American Ancestry	PEL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02811	female	SAME1839849	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02733	male	SAME1839874	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02688	female	SAME1839358	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02738	male	SAME1839560	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG02690	male	SAME1839088	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02757	female	SAME1839451	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02703	female	SAME1840142	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02764	male	SAME1839250	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02715	male	SAME1839987	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02769	female	SAME1839231	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 3,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02722	female	SAME1839747	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02771	male	SAME1839045	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02727	male	SAME1839727	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02776	female	SAME1839017	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG02645	male	SAME1839774	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03034	female	SAME1839568	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Gambian Genome Variation Project (GRCh38)
HG02652	female	SAME1839541	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03039	male	SAME1839593	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02657	male	SAME1839600	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03041	female	SAME1839620	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02676	female	SAME1839491	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03046	female	SAME1839639	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02683	female	SAME1839298	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG03053	female	SAME1839502	MSL	Mende	AFR	African Ancestry	MSL	
HG02734	female	SAME1839869	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03058	female	SAME1839442	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02758	female	SAME1839448	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	
HG03060	male	SAME1839211	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02760	female	SAME1839267	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03065	male	SAME1839318	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2
HG02772	female	SAME1839039	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02783	male	SAME1839162	PJL	Punjabi,Punjabi	SAS	South Asia (SGDP),South Asian Ancestry	PunjabiSGDP,PJL	1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02816	male	SAME1839822	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02788	female	SAME1840285	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38
HG02854	male	SAME1839336	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02790	female	SAME1840345	PJL	Punjabi,Punjabi	SAS	South Asia (SGDP),South Asian Ancestry	PunjabiSGDP,PJL	1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02861	female	SAME1839125	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02808	female	SAME1840069	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02878	male	SAME1840363	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02810	male	SAME1839854	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG02880	female	SAME1840090	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02884	male	SAME1840161	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03047	female	SAME1839644	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02889	female	SAME1840133	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG03054	male	SAME1839507	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02891	female	SAME1839938	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03059	male	SAME1839443	MSL	Mende	AFR	African Ancestry	MSL	
HG02896	female	SAME1839916	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03061	female	SAME1839215	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02923	male	SAME1839436	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03066	male	SAME1839324	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02942	male	SAME1839090	ESN	Esan	AFR	African Ancestry	ESN	
HG03237	male	SAME1839282	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02947	male	SAME1839061	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03249	male	SAME1839183	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Gambian Genome Variation Project (GRCh38)
HG02954	male	SAME1840264	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes 30x on GRCh38
HG03251	female	SAME1840266	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes 30x on GRCh38
HG02966	male	SAME1840114	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes 30x on GRCh38
HG03268	male	SAME1840093	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02687	male	SAME1839270	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03270	female	SAME1840194	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02694	female	SAME1839065	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03294	female	SAME1839877	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02699	male	SAME1839129	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03369	female	SAME1840078	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02702	male	SAME1840149	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03371	male	SAME1839712	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2
HG02721	male	SAME1839749	GWD	Gambian Mandinka	AFR	African Ancestry	GWD	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Gambian Genome Variation Project (GRCh38)
HG03376	male	SAME1839736	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02726	female	SAME1839732	PJL	Punjabi	SAS	South Asian Ancestry	PJL	1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03383	female	SAME1839583	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38
HG02973	male	SAME1840246	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG03388	male	SAME1839524	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02978	female	SAME1840216	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes 30x on GRCh38
HG03390	male	SAME1839632	MSL	Mende	AFR	African Ancestry	MSL	
HG02980	male	SAME1840034	ESN	Esan	AFR	African Ancestry	ESN	1000 Genomes 30x on GRCh38
HG03408	male	SAME1839071	MSL	Mende	AFR	African Ancestry	MSL	1000 Genomes on GRCh38
